Row #,Species,Count,Location,S/P,Date,LocID,SubID
233,Zwergschnäpper - Ficedula parva,1,Walchenseekraftwerk,DE-BY,03 Jun 2017,L5901392,S37375167
234,Trauerschnäpper - Ficedula hypoleuca,1,Linderhof,DE-BY,11 Jun 2017,L5981275,S37620972
235,Halsbandschnäpper - Ficedula albicollis,2,Schleifermosach östlich Freising,DE-BY,15 May 2016,L4451541,S29725556
236,Gartenrotschwanz - Phoenicurus phoenicurus,1,Havelländisches Luch bei Garlitz,DE-BB,15 Apr 2016,L2438798,S28983682
237,Hausrotschwanz - Phoenicurus ochruros,,Murnauer Moos,DE-BY,25 Apr 2015,L1590602,S28228718
238,Braunkehlchen - Saxicola rubetra,8,Ammersee-Südufer und Raistinger Wiesen--Ammer River mouth trails,DE-BY,09 May 2015,L942914,S28075480
239,Schwarzkehlchen - Saxicola rubicola,1,Murnauer Moos,DE-BY,06 Jun 2015,L1590602,S28093583
240,Steinschmätzer - Oenanthe oenanthe,2,Rantumbecken,DE-SH,15 May 2015,L4351035,S28058214
241,Ringdrossel - Turdus torquatus,2,Heimgarten,DE-BY,30 May 2015,L4353851,S28075692
242,Amsel - Turdus merula,,Ammersee-Südufer und Raistinger Wiesen--Ammer River mouth trails,DE-BY,27 Dec 2014,L942914,S28228628
243,Wacholderdrossel - Turdus pilaris,,Heimgarten,DE-BY,30 May 2015,L4353851,S28075692
244,Singdrossel - Turdus philomelos,,Großer Garten (Dresden),DE-SN,27 Feb 2015,L3115396,S28059875
245,Misteldrossel - Turdus viscivorus,4,Ammersee-Südufer und Raistinger Wiesen--Ammer River mouth trails,DE-BY,27 Dec 2014,L942914,S28228628
246,Star - Sturnus vulgaris,30,Schwarzachwiesen,DE-BY,26 Apr 2015,L4384370,S28228418
247,Alpenbraunelle - Prunella collaris,2,Karwendel,DE-BY,16 Jun 2015,L3166522,S28040861
248,Heckenbraunelle - Prunella modularis,1,Notkarspitze,DE-BY,04 Jun 2015,L4384394,S28228498
249,Wiesenschafstelze - Motacilla flava,4,Ismaninger Speichersee,DE-BY,11 Jul 2015,L1514846,S28058148
250,Gebirgsstelze - Motacilla cinerea,1,Chiemsee--Hirschauer Bucht,DE-BY,09 Aug 2015,L2299294,S28092692
251,Bachstelze - Motacilla alba,,Murnauer Moos,DE-BY,25 Apr 2015,L1590602,S28228718
252,Wiesenpieper - Anthus pratensis,,Insel Sylt,DE-SH,16 May 2015,L2430769,S28157134
253,Baumpieper - Anthus trivialis,4,Klammspitze,DE-BY,05 Aug 2015,L4384386,S28228481
254,Bergpieper - Anthus spinoletta,,Wank,DE-BY,03 Jul 2016,L4355037,S30518983
255,Goldammer - Emberiza citrinella,2,Murnauer Moos,DE-BY,25 Apr 2015,L1590602,S28228718
256,Zaunammer - Emberiza cirlus,1,Achkarren Nord,DE-BW,29 Apr 2018,L3465266,S45094828
257,Zippammer - Emberiza cia,1,Feldberg,DE-BW,29 Apr 2018,L2991675,S45060313
258,Ortolan - Emberiza hortulana,1,Ortolanfläche,DE-BY,21 May 2016,L4631880,S29853380
259,Rohrammer - Emberiza schoeniclus,,Ammersee-Südufer und Raistinger Wiesen--Ammer River mouth trails,DE-BY,28 Mar 2015,L942914,S28092923
260,Grauammer - Emberiza calandra,,Havelländisches Luch bei Garlitz,DE-BB,15 Apr 2016,L2438798,S28983682
